R_Eatery_Name,R_Eatery_Old_Addr,R_Eatery_Addr,R_Eatery_Latitude,R_Eatery_Longtitude,R_Eatery_Score,R_Eatery_Views,R_Eatery_Preference,R_Eatery_Reviews,R_Eatery_Bookmarks
황원갈비,제주특별자치도 제주시 구좌읍 김녕리 1667-7,제주특별자치도 제주시 구좌읍 김녕로 129,33.55519,126.75166,0,962,1,0,3
샐러드앤미미,제주특별자치도 제주시 애월읍 수산리 965-1,제주특별자치도 제주시 애월읍 엄수로 148,33.468994,126.38864,0,443,0,0,1
유람위드북스,제주특별자치도 제주시 한경면 조수리 43-1,제주특별자치도 제주시 한경면 조수동2길 54-36,33.3397619,126.2348699,5,2483,3,3,6
거멍국수,제주특별자치도 서귀포시 안덕면 사계리 522-1,제주특별자치도 서귀포시 안덕면 사계로114번길 53-14,33.24444,126.304474,5,3941,1,5,47
일출왕뚝배기,제주특별자치도 서귀포시 성산읍 성산리 399-109,제주특별자치도 서귀포시 성산읍 일출로 247,33.4606915,126.9325508,0,1641,0,0,13
미남미녀,제주특별자치도 제주시 구좌읍 종달리 558-1,제주특별자치도 제주시 구좌읍 종달로1길 102,33.495377,126.906204,5,4190,2,15,21
혜밀버거 레시피,제주특별자치도 제주시 구좌읍 하도리 1759,제주특별자치도 제주시 구좌읍 해맞이해안로 1720,33.526787,126.88599,0,34,0,0,1
고내촌한정식,제주특별자치도 제주시 애월읍 고내리 367,제주특별자치도 제주시 애월읍 고내로13길 73,33.470286,126.3467085,0,2145,0,0,5
소라네집,제주특별자치도 서귀포시 성산읍 온평리 661-1,제주특별자치도 서귀포시 성산읍 환해장성로 631,33.410343,126.90812,0,2065,0,0,9
협재국수가게(구 청산식당),제주특별자치도 제주시 한림읍 협재리 2514-1,제주특별자치도 제주시 한림읍 한림로 332-1,33.39309,126.24046,0,1838,0,0,4
도나토스,제주특별자치도 제주시 한림읍 협재리 2512-1,제주특별자치도 제주시 한림읍 협재2길 6,33.392544,126.24033,5,2828,0,1,4
우리두리식당,제주특별자치도 제주시 구좌읍 김녕리 1202-1,제주특별자치도 제주시 구좌읍 김녕로 173,33.55623,126.75624,0,1299,1,0,5
