R_Stay_Name,R_Stay_Old_Addr,R_Stay_Addr,R_Stay_Latitude,R_Stay_Longtitude,R_Stay_Score,R_Stay_Views,R_Stay_Preference,R_Stay_Reviews,R_Stay_Bookmarks
두베하우스,제주특별자치도 제주시 구좌읍 상도리 444,제주특별자치도 제주시 구좌읍 상하도길 46-12,33.516922,126.866554,4,2097,1,2,1
폴리 파크 카라반,제주특별자치도 제주시 애월읍 어음리 3912,제주특별자치도 제주시 애월읍 산록서로 18,33.3868299,126.3751044,0,1017,0,0,1
프레리아,제주특별자치도 제주시 애월읍 유수암리 1034-7,제주특별자치도 제주시 애월읍 유수암평화5길 34-29,33.4253669,126.4050815,5,2520,0,1,3
가족민박,제주특별자치도 서귀포시 북문로 189,제주특별자치도 서귀포시 북문로 189,33.278843,126.61511,0,1270,0,0,0
감비나무,제주특별자치도 제주시 구좌읍 평대리 1723-3,제주특별자치도 제주시 구좌읍 일주동로 2970,33.5294932,126.8385257,0,1357,0,0,1
휴양펜션 돌과바람,제주특별자치도 제주시 해안동 1961,제주특별자치도 제주시 해안마을길 62,33.3967883,126.4878526,0,2714,1,0,1
Jeju in aA게스트하우스,제주특별자치도 제주시 구좌읍 한동리 8-8,제주특별자치도 제주시 구좌읍 계룡길 26-20,33.538387,126.836586,0,1050,0,0,5
보타니1596,제주특별자치도 제주시 한림읍 명월리 1596,제주특별자치도 제주시 한림읍 명월로4길 35,33.385124,126.26444,0,916,0,0,0
건축학개론펜션,제주특별자치도 서귀포시 성산읍 신풍리 188,제주특별자치도 서귀포시 성산읍 신풍하동로 224-33,33.358418,126.85982,3,3047,1,1,1
하바다 통나무집,제주특별자치도 서귀포시 안덕면 창천리 976,제주특별자치도 서귀포시 안덕면 대평감산로 86,33.24144,126.36495,0,1831,0,0,0
하이클래스제주,제주특별자치도 제주시 애월읍 애월리 2550,제주특별자치도 제주시 애월읍 애월북서길 54,33.466225,126.310745,5,3630,1,1,5
놀이터게스트하우스,제주특별자치도 서귀포시 성산읍 시흥리 572-1,제주특별자치도 서귀포시 성산읍 시흥상동로53번길 31,33.4732,126.8964,0,590,0,0,0
