R_Spot_Name,R_Spot_Old_Addr,R_Spot_Addr,R_Spot_Latitude,R_Spot_Longtitude,R_Spot_Score,R_Spot_Views,R_Spot_Preference,R_Spot_Reviews,R_Spot_Bookmarks
하늘여행 행글라이더체험장,제주특별자치도 서귀포시 안덕면 서광리 775,제주특별자치도 서귀포시 안덕면 중산간서로 1877,33.28845182,126.3165592,0,10332,1,0,38
해적잠수함,제주특별자치도 제주시 한경면 고산리 3615-6,제주특별자치도 제주시 한경면 노을해안로 1146,33.308254,126.1647,5,13425,2,2,69
영모원,제주특별자치도 제주시 애월읍 하귀리 1130-1,제주특별자치도 제주시 애월읍 하귀리 1130-1,33.47222,126.41828,0,1545,1,0,1
돝오름(돗오름),제주특별자치도 제주시 구좌읍 송당리 산 3,제주특별자치도 제주시 구좌읍 송당리 산 3,33.481293,126.8003,5,3076,1,1,7
오름열기구투어,제주특별자치도 제주시 구좌읍 송당리 1460,제주특별자치도 제주시 구좌읍 송당6길 15-1,33.46908,126.78622,5,4215,0,1,20
예초리,제주특별자치도 제주시 추자도 예초리,제주특별자치도 제주시 추자도 예초리,33.947014,126.3201,0,1188,1,0,1
쇠와꽃 승마장,제주특별자치도 서귀포시 성산읍 고성리 354-1,제주특별자치도 서귀포시 성산읍 섭지코지로25번길 88-17,33.44715,126.920296,5,5491,0,2,42
청수곶자왈,제주특별자치도 제주시 한경면 청수리 1571,제주특별자치도 제주시 한경면 대한로 1036,33.305817,126.26187,4,14778,5,6,75
구엄포구,제주특별자치도 제주시 애월읍 구엄리,제주특별자치도 제주시 애월읍 구엄리,33.479736,126.381935,0,2992,0,0,12
굴동포구,제주특별자치도 제주시 구좌읍 하도리,제주특별자치도 제주시 구좌읍 해맞이해안로,33.514984,126.88177,0,1813,0,0,0
"걸서악(서걸세,걸세오름)",제주특별자치도 서귀포시 남원읍 하례리 산 127-1,제주특별자치도 서귀포시 남원읍 하례로381번길 23,33.3420367,126.5884214,0,1153,0,0,0
비자림로(드라이브코스),제주특별자치도 제주시 구좌읍 송당리,,33.45765,126.77281,5,3486,4,6,96
