Nature_ID,Nature_Type,Nature_Name,Nature_Addr,Nature_Longtitude,Nature_Latitude
149,오름,정물오름,제주특별자치도 제주시 한림읍 금악리 산 49-5,126.3298543,33.34230368
150,오름,누운오름,제주특별자치도 제주시 한림읍 금악리 196-3,126.3292967,33.36707239
151,오름,세미소오름,제주특별자치도 제주시 한림읍 금악리 356-2,126.3208132,33.35493475
152,오름,볼레오름,제주특별자치도 서귀포시 중문동 산 1-1,126.4675167,33.34643185
153,오름,도레오름,제주특별자치도 서귀포시 중문동 산 1-1,126.4675167,33.34643185
154,오름,번널오름,제주특별자치도 서귀포시 표선면 가시리 3691-1,126.7434316,33.37832077
155,오름,병곳오름,제주특별자치도 서귀포시 표선면 가시리 3681,126.7457547,33.37023255
156,오름,쳇망오름,제주특별자치도 서귀포시 표선면 가시리 산 158-2,126.6889012,33.40312372
157,오름,개오름,제주특별자치도 서귀포시 표선면 성읍리 2974,126.7718028,33.42321414
158,오름,주체오름,제주특별자치도 제주시 구좌읍 덕천리 산 68-12,126.7474629,33.49629179
159,오름,가메오름,제주특별자치도 제주시 한경면 청수리 1253,126.2461736,33.3095317
160,오름,굽은오름,제주특별자치도 제주시 한경면 조수리 3477,126.2149415,33.30333961
161,오름,이계오름,제주특별자치도 제주시 한경면 저지리 3258,126.2595987,33.32995755
162,오름,새신오름,제주특별자치도 제주시 한경면 낙천리 533-7,126.2375638,33.30363227
163,오름,송아오름,제주특별자치도 제주시 한경면 조수리 201,126.2344927,33.33127427
164,오름,마오름,제주특별자치도 제주시 한경면 저지리 1093,126.2414652,33.34110413
165,오름,널개오름,제주특별자치도 제주시 한경면 판포리 1892-2,126.2095772,33.3618311
166,오름,저지오름,제주특별자치도 제주시 한경면 저지리 산 51,126.2510182,33.33295298
167,오름,족은노꼬메오름,제주특별자치도 제주시 애월읍 유수암리 산 138,126.4159045,33.39222138
168,오름,폭낭오름,제주특별자치도 제주시 애월읍 봉성리 산 23-27,126.38698,33.34832634
169,오름,걸쇠오름,제주특별자치도 제주시 연동 2488-165,126.5013141,33.41735844
170,오름,민대가리오름,제주특별자치도 제주시 애월읍 광령리 산 183-6,126.5025774,33.37128494
171,오름,구두리오름,제주특별자치도 제주시 조천읍 교래리 산 23-1,126.6888306,33.41732349
172,오름,궤펜이오름,제주특별자치도 제주시 조천읍 교래리 산 137-1,126.6425684,33.40769185
173,오름,말찻오름,제주특별자치도 제주시 조천읍 교래리 산 137-1,126.6425684,33.40769185
174,오름,민오름,제주특별자치도 서귀포시 남원읍 수망리 산 158-1,126.6846208,33.34842445
175,오름,본지오름,제주특별자치도 서귀포시 성산읍 삼달리 2087,126.8201306,33.38942841
176,오름,눈오름,제주특별자치도 제주시 애월읍 소길리 1633,126.3821802,33.42992508
177,오름,검은오름,제주특별자치도 제주시 연동 산 100-1,126.492823,33.44237617
178,오름,남좃은오름,제주특별자치도 제주시 연동 산 7,126.4960781,33.47577162
179,오름,노루손이오름,제주특별자치도 제주시 연동 산 137,126.4973943,33.42738885
180,오름,극락오름,제주특별자치도 제주시 애월읍 유수암리 419,126.4119766,33.43929764
181,오름,궤미오름,제주특별자치도 제주시 애월읍 장전리 1701,126.3760662,33.44512373
182,오름,오름가름,제주특별자치도 제주시 애월읍 구엄리 61-1,126.3879238,33.47853752
183,오름,칡오름,제주특별자치도 제주시 봉개동 507,126.6098083,33.47825574
184,오름,고냉이굴오름,제주특별자치도 제주시 봉개동 526-2,126.6121653,33.4807263
185,오름,열안지오름,제주특별자치도 제주시 봉개동 778-1,126.6058495,33.47333029
186,오름,선족이오름,제주특별자치도 제주시 구좌읍 송당리 2356,126.7462823,33.44505034
187,오름,식은이오름,제주특별자치도 제주시 구좌읍 덕천리 1402,126.746054,33.47617428
188,오름,방애오름,제주특별자치도 제주시 조천읍 교래리 407,126.6815071,33.44226912
189,오름,당오름,제주특별자치도 제주시 조천읍 와산리 495,126.6875252,33.4829652
190,오름,돔베오름,제주특별자치도 제주시 조천읍 교래리 산 93,126.6652392,33.43239582
191,오름,기시네오름,제주특별자치도 제주시 조천읍 와흘리 1925,126.6346656,33.49502638
192,오름,족은방애오름,제주특별자치도 제주시 조천읍 교래리 산 114,126.643891,33.45453609
193,오름,족은지그리오름,제주특별자치도 제주시 조천읍 교래리 산 45,126.6878532,33.44260607
194,오름,큰지그리오름,제주특별자치도 제주시 조천읍 교래리 산 115,126.6440365,33.44983813
195,오름,늡서리오름,제주특별자치도 제주시 조천읍 교래리 산 119,126.6537387,33.44156976
196,오름,절물오름,제주특별자치도 제주시 봉개동 산 78-1,126.6228483,33.43022042
197,오름,족은절물오름,제주특별자치도 제주시 봉개동 산 78-1,126.6228483,33.43022042
198,오름,칡오름,제주특별자치도 제주시 구좌읍 송당리 산 145,126.7596195,33.45053201
199,오름,당오름,제주특별자치도 제주시 구좌읍 송당리 1571-11,126.7764011,33.47025217
200,오름,돌리미오름,제주특별자치도 제주시 구좌읍 송당리 2486,126.7696957,33.4364488
201,오름,동검은이오름,제주특별자치도 제주시 구좌읍 종달리 산 70,126.8054182,33.44876575
202,오름,돗오름,제주특별자치도 제주시 구좌읍 평대리 산 16,126.8007339,33.48267086
203,오름,뒤굽은이오름,제주특별자치도 제주시 구좌읍 송당리 657,126.7655285,33.48422131
204,오름,어대오름,제주특별자치도 제주시 구좌읍 덕천리 788,126.7589378,33.49873716
205,오름,종제기오름,제주특별자치도 제주시 구좌읍 덕천리 산 10,126.757939,33.48220261
206,오름,민오름,제주특별자치도 제주시 구좌읍 송당리 2331,126.7598816,33.44241303
207,오름,문석이오름,제주특별자치도 제주시 구좌읍 송당리 산 214,126.7958425,33.45400527
208,오름,새미오름,제주특별자치도 제주시 구좌읍 송당리 2169,126.7572597,33.45387686
209,오름,손지오름,제주특별자치도 제주시 구좌읍 종달리 산 43,126.818227,33.45844844
210,오름,뒷굽으니오름,제주특별자치도 서귀포시 성산읍 수산리 4504,126.8265252,33.43087017
211,오름,붉은오름,제주특별자치도 서귀포시 성산읍 고성리 18,126.9316486,33.43033619
212,오름,바리메오름,제주특별자치도 제주시 애월읍 상가리 산 123,126.3909554,33.38187779
213,오름,물영아리오름,제주특별자치도 서귀포시 남원읍 수망리 산 182-2,126.684545,33.36342367
214,오름,닥마르오름,제주특별자치도 제주시 한경면 저지리 산 52,126.2477928,33.33497943
215,오름,알바매기오름,제주특별자치도 제주시 조천읍 선흘리 산 59-25,126.7118823,33.49512126
216,오름,섯알오름,제주특별자치도 서귀포시 대정읍 상모리 1590-2,126.2810523,33.205691
217,오름,거친오름,제주특별자치도 제주시 봉개동 산 66,126.619362,33.44578935
218,오름,밝은오름,제주특별자치도 제주시 해안동 355-21,126.4676637,33.44273003
219,오름,오구시오름,제주특별자치도 제주시 오등동 570-1,126.535143,33.47018306
220,오름,민오름,제주특별자치도 제주시 봉개동 산 64,126.6375751,33.43647359
221,오름,칡오름(큰오름),제주특별자치도 제주시 봉개동 466-2,126.6134113,33.47485697
222,오름,봉아오름,제주특별자치도 제주시 봉개동 1811-1,126.5927766,33.49261463
223,오름,알오름,제주특별자치도 제주시 건입동 387-1,126.5458078,33.51770452
224,오름,더데오름,제주특별자치도 서귀포시 상예동 4389-1,126.3731818,33.27715234
225,오름,왕오름,제주특별자치도 서귀포시 회수동 산 1,126.4475352,33.30121593
226,오름,장오름,제주특별자치도 서귀포시 회수동 산 1,126.4475352,33.30121593
227,오름,인정오름,제주특별자치도 서귀포시 토평동 1956,126.5865172,33.28364555
228,오름,설오름,제주특별자치도 서귀포시 신효동 1028,126.6048349,33.25587221
229,오름,밝은오름,제주특별자치도 제주시 한림읍 상명리 1696,126.2659157,33.3615155
230,오름,밝은오름,제주특별자치도 제주시 한림읍 명월리 1105,126.2791781,33.38171257
231,오름,방주오름,제주특별자치도 제주시 한림읍 명월리 679,126.2822188,33.37932684
232,오름,선소오름,제주특별자치도 제주시 한림읍 금악리 2785-1,126.2908339,33.37253509
233,오름,밝은오름,제주특별자치도 제주시 한림읍 금악리 18-1,126.3372721,33.35120094
234,오름,정물알오름,제주특별자치도 제주시 한림읍 금악리 105-1,126.3239655,33.34041219
235,오름,안오름,제주특별자치도 제주시 애월읍 고성리 1146,126.4145708,33.45092464
236,오름,족은노로오름,제주특별자치도 제주시 애월읍 고성리 산 145,126.4417324,33.38413708
237,오름,웃세오름,제주특별자치도 제주시 애월읍 광령리 산 183-1,126.4778049,33.37085428
238,오름,알오름,제주특별자치도 제주시 애월읍 유수암리 산 114,126.4034287,33.41378544
239,오름,검은덕이오름,제주특별자치도 제주시 애월읍 소길리 산 118,126.3862809,33.41863699
